Hotel_Name,lat,lng
Fleming s Selection Hotel Wien City,48.209367,16.353443
Hotel City Central,48.213593,16.37988
Hotel Atlanta,48.220402,16.355824
Maison Albar Hotel Paris Op ra Diamond,48.875289,2.323391
Hotel Daniel Vienna,48.188793,16.38379
Hotel Pension Baron am Schottentor,48.216815,16.359906
Austria Trend Hotel Schloss Wilhelminenberg Wien,48.219565,16.285594
Derag Livinghotel Kaiser Franz Joseph Vienna,48.245944,16.341843
NH Collection Barcelona Podium,41.391556,2.177926
City Hotel Deutschmeister,48.220851,16.366611
Hotel Park Villa,48.233513,16.345645
Cordial Theaterhotel Wien,48.209527,16.351484
Holiday Inn Paris Montmartre,48.888909,2.333174
Roomz Vienna,48.186854,16.420715
Mercure Paris Gare Montparnasse,48.839988,2.323604
Renaissance Barcelona Hotel,41.392709,2.167428
Hotel Advance,41.383306,2.162869
